年月,X线项目,医生编号,医生,医生等级,报告数量,审核数量,总数量
2025-10,腹部,02,刘蕾,高级,5,23,28
2025-12,腹部,02,刘蕾,高级,1,13,14
2026-01,腹部,02,刘蕾,高级,0,6,6
2026-02,腹部,02,刘蕾,高级,0,4,4
2026-03,腹部,02,刘蕾,高级,0,1,1
2026-04,腹部,02,刘蕾,高级,0,6,6
2026-06,腹部,02,刘蕾,高级,0,6,6
2026-07,腹部,02,刘蕾,高级,0,5,5
2021-08,腹部,03,张博闻,高级,0,1,1
2021-09,腹部,03,张博闻,高级,0,2,2
2021-10,腹部,03,张博闻,高级,0,1,1
2021-12,腹部,03,张博闻,高级,2,1,3
2022-01,腹部,03,张博闻,高级,1,0,1
2022-02,腹部,03,张博闻,高级,0,1,1
2022-04,腹部,03,张博闻,高级,0,2,2
2022-06,腹部,03,张博闻,高级,0,1,1
2022-08,腹部,03,张博闻,高级,0,1,1
2022-09,腹部,03,张博闻,高级,0,1,1
2022-11,腹部,03,张博闻,高级,0,2,2
2022-12,腹部,03,张博闻,高级,1,0,1
2023-02,腹部,03,张博闻,高级,1,1,2
2023-09,腹部,03,张博闻,高级,1,0,1
2024-01,腹部,03,张博闻,高级,1,14,15
2024-02,腹部,03,张博闻,高级,1,8,9
2024-03,腹部,03,张博闻,高级,1,21,22
2024-04,腹部,03,张博闻,高级,1,9,10
2024-05,腹部,03,张博闻,高级,2,11,13
2024-06,腹部,03,张博闻,高级,5,17,22
2024-07,腹部,03,张博闻,高级,3,10,13
2024-08,腹部,03,张博闻,高级,0,13,13
2024-09,腹部,03,张博闻,高级,6,10,16
2024-10,腹部,03,张博闻,高级,0,8,8
2024-11,腹部,03,张博闻,高级,0,5,5
2024-12,腹部,03,张博闻,高级,2,13,15
2025-01,腹部,03,张博闻,高级,1,5,6
2025-02,腹部,03,张博闻,高级,0,6,6
2025-03,腹部,03,张博闻,高级,0,9,9
2025-04,腹部,03,张博闻,高级,0,14,14
2025-05,腹部,03,张博闻,高级,0,3,3
2025-06,腹部,03,张博闻,高级,0,14,14
2025-07,腹部,03,张博闻,高级,0,6,6
2025-08,腹部,03,张博闻,高级,1,19,20
2025-09,腹部,03,张博闻,高级,0,5,5
2025-10,腹部,03,张博闻,高级,2,14,16
2025-11,腹部,03,张博闻,高级,0,12,12
2025-12,腹部,03,张博闻,高级,0,11,11
2026-01,腹部,03,张博闻,高级,3,12,15
2026-02,腹部,03,张博闻,高级,4,24,28
2026-03,腹部,03,张博闻,高级,0,7,7
2026-04,腹部,03,张博闻,高级,2,8,10
2026-05,腹部,03,张博闻,高级,1,8,9
2026-06,腹部,03,张博闻,高级,1,5,6
2026-07,腹部,03,张博闻,高级,0,4,4
2021-09,腹部,04,白璐,高级,0,1,1
2022-08,腹部,04,白璐,高级,0,1,1
2024-01,腹部,04,白璐,高级,3,24,27
2024-02,腹部,04,白璐,高级,4,21,25
2024-03,腹部,04,白璐,高级,1,14,15
2024-04,腹部,04,白璐,高级,1,7,8
2024-05,腹部,04,白璐,高级,0,4,4
2024-06,腹部,04,白璐,高级,4,13,17
2024-07,腹部,04,白璐,高级,3,17,20
2024-08,腹部,04,白璐,高级,5,11,16
2024-09,腹部,04,白璐,高级,9,10,19
2024-10,腹部,04,白璐,高级,7,12,19
2024-11,腹部,04,白璐,高级,1,11,12
2024-12,腹部,04,白璐,高级,4,28,32
2025-01,腹部,04,白璐,高级,0,16,16
2025-02,腹部,04,白璐,高级,2,10,12
2025-03,腹部,04,白璐,高级,3,22,25
2025-04,腹部,04,白璐,高级,4,18,22
2025-05,腹部,04,白璐,高级,2,21,23
2025-06,腹部,04,白璐,高级,0,7,7
2025-07,腹部,04,白璐,高级,2,28,30
2025-08,腹部,04,白璐,高级,2,23,25
2025-09,腹部,04,白璐,高级,0,12,12
2025-10,腹部,04,白璐,高级,2,10,12
2025-11,腹部,04,白璐,高级,2,30,32
2025-12,腹部,04,白璐,高级,2,12,14
2026-01,腹部,04,白璐,高级,0,12,12
2026-02,腹部,04,白璐,高级,0,6,6
2026-03,腹部,04,白璐,高级,2,16,18
2026-04,腹部,04,白璐,高级,1,6,7
2026-05,腹部,04,白璐,高级,1,29,30
2026-06,腹部,04,白璐,高级,0,12,12
2026-07,腹部,04,白璐,高级,0,15,15
2022-08,腹部,05,周媛媛,高级,1,0,1
2023-03,腹部,05,周媛媛,高级,1,1,2
2023-05,腹部,05,周媛媛,高级,1,0,1
2024-01,腹部,05,周媛媛,高级,1,7,8
2024-02,腹部,05,周媛媛,高级,1,6,7
2024-03,腹部,05,周媛媛,高级,3,8,11
2024-04,腹部,05,周媛媛,高级,2,10,12
2024-05,腹部,05,周媛媛,高级,1,10,11
2024-06,腹部,05,周媛媛,高级,0,9,9
2024-07,腹部,05,周媛媛,高级,0,8,8
2024-08,腹部,05,周媛媛,高级,1,12,13
2024-09,腹部,05,周媛媛,高级,3,9,12
2024-10,腹部,05,周媛媛,高级,5,17,22
2024-11,腹部,05,周媛媛,高级,1,25,26
2024-12,腹部,05,周媛媛,高级,4,9,13
2025-01,腹部,05,周媛媛,高级,1,5,6
2025-02,腹部,05,周媛媛,高级,1,11,12
2025-03,腹部,05,周媛媛,高级,0,6,6
2025-04,腹部,05,周媛媛,高级,1,12,13
2025-05,腹部,05,周媛媛,高级,0,8,8
2025-06,腹部,05,周媛媛,高级,0,5,5
2025-07,腹部,05,周媛媛,高级,4,7,11
2025-08,腹部,05,周媛媛,高级,1,7,8
2025-09,腹部,05,周媛媛,高级,0,11,11
2025-10,腹部,05,周媛媛,高级,0,15,15
2025-11,腹部,05,周媛媛,高级,3,4,7
2025-12,腹部,05,周媛媛,高级,1,4,5
2026-01,腹部,05,周媛媛,高级,5,18,23
2026-02,腹部,05,周媛媛,高级,0,5,5
2026-03,腹部,05,周媛媛,高级,2,17,19
2026-04,腹部,05,周媛媛,高级,6,13,19
2021-10,腹部,06,曲艺,高级,1,0,1
2022-04,腹部,06,曲艺,高级,1,0,1
2022-07,腹部,06,曲艺,高级,1,0,1
2022-12,腹部,06,曲艺,高级,0,1,1
2023-03,腹部,06,曲艺,高级,0,1,1
2023-07,腹部,06,曲艺,高级,0,1,1
2024-01,腹部,06,曲艺,高级,3,8,11
2024-02,腹部,06,曲艺,高级,3,12,15
2024-03,腹部,06,曲艺,高级,3,7,10
2024-04,腹部,06,曲艺,高级,2,6,8
2024-05,腹部,06,曲艺,高级,5,11,16
2024-06,腹部,06,曲艺,高级,2,7,9
2024-07,腹部,06,曲艺,高级,1,7,8
2024-08,腹部,06,曲艺,高级,2,3,5
2024-09,腹部,06,曲艺,高级,1,7,8
2024-10,腹部,06,曲艺,高级,3,12,15
2024-11,腹部,06,曲艺,高级,12,17,29
2024-12,腹部,06,曲艺,高级,6,13,19
2025-01,腹部,06,曲艺,高级,4,8,12
2025-02,腹部,06,曲艺,高级,0,12,12
2025-03,腹部,06,曲艺,高级,1,5,6
2025-04,腹部,06,曲艺,高级,2,6,8
2025-05,腹部,06,曲艺,高级,2,9,11
2025-06,腹部,06,曲艺,高级,3,14,17
2025-07,腹部,06,曲艺,高级,0,10,10
2025-08,腹部,06,曲艺,高级,7,12,19
2025-09,腹部,06,曲艺,高级,2,15,17
2025-10,腹部,06,曲艺,高级,9,15,24
2025-11,腹部,06,曲艺,高级,5,23,28
2025-12,腹部,06,曲艺,高级,6,11,17
2026-01,腹部,06,曲艺,高级,3,8,11
2026-02,腹部,06,曲艺,高级,1,5,6
2026-03,腹部,06,曲艺,高级,5,25,30
2026-04,腹部,06,曲艺,高级,4,18,22
2026-05,腹部,06,曲艺,高级,6,12,18
2026-06,腹部,06,曲艺,高级,1,14,15
2026-07,腹部,06,曲艺,高级,1,13,14
2022-07,腹部,07,苏畅,高级,1,0,1
2022-08,腹部,07,苏畅,高级,1,1,2
2022-11,腹部,07,苏畅,高级,2,0,2
2022-12,腹部,07,苏畅,高级,0,2,2
2023-03,腹部,07,苏畅,高级,0,1,1
2023-05,腹部,07,苏畅,高级,1,1,2
2024-01,腹部,07,苏畅,高级,6,22,28
2024-02,腹部,07,苏畅,高级,3,3,6
2024-03,腹部,07,苏畅,高级,1,23,24
2024-04,腹部,07,苏畅,高级,0,14,14
2024-05,腹部,07,苏畅,高级,1,10,11
2024-06,腹部,07,苏畅,高级,0,15,15
2024-07,腹部,07,苏畅,高级,1,16,17
2024-08,腹部,07,苏畅,高级,4,17,21
2024-09,腹部,07,苏畅,高级,7,27,34
2024-10,腹部,07,苏畅,高级,27,79,106
2024-11,腹部,07,苏畅,高级,2,39,41
2024-12,腹部,07,苏畅,高级,6,25,31
2025-01,腹部,07,苏畅,高级,6,23,29
2025-02,腹部,07,苏畅,高级,1,7,8
2025-03,腹部,07,苏畅,高级,8,24,32
2025-04,腹部,07,苏畅,高级,2,13,15
2025-05,腹部,07,苏畅,高级,3,23,26
2025-06,腹部,07,苏畅,高级,6,17,23
2025-07,腹部,07,苏畅,高级,4,25,29
2025-08,腹部,07,苏畅,高级,3,15,18
2025-09,腹部,07,苏畅,高级,6,19,25
2025-10,腹部,07,苏畅,高级,4,19,23
2025-11,腹部,07,苏畅,高级,7,31,38
2025-12,腹部,07,苏畅,高级,4,24,28
2026-01,腹部,07,苏畅,高级,3,29,32
2026-02,腹部,07,苏畅,高级,3,13,16
2026-03,腹部,07,苏畅,高级,2,10,12
2026-04,腹部,07,苏畅,高级,9,33,42
2026-05,腹部,07,苏畅,高级,4,14,18
2026-06,腹部,07,苏畅,高级,6,23,29
2026-07,腹部,07,苏畅,高级,0,7,7
2023-09,腹部,08,张志轩,高级,0,1,1
2024-01,腹部,08,张志轩,高级,0,1,1
2024-02,腹部,08,张志轩,高级,2,8,10
2024-03,腹部,08,张志轩,高级,1,8,9
2024-04,腹部,08,张志轩,高级,1,17,18
2024-05,腹部,08,张志轩,高级,0,4,4
2024-06,腹部,08,张志轩,高级,0,2,2
2024-07,腹部,08,张志轩,高级,4,8,12
2024-08,腹部,08,张志轩,高级,1,10,11
2024-09,腹部,08,张志轩,高级,2,19,21
2024-10,腹部,08,张志轩,高级,4,6,10
2024-11,腹部,08,张志轩,高级,2,6,8
2024-12,腹部,08,张志轩,高级,2,7,9
2025-01,腹部,08,张志轩,高级,0,14,14
2025-02,腹部,08,张志轩,高级,0,1,1
2025-03,腹部,08,张志轩,高级,2,15,17
2025-04,腹部,08,张志轩,高级,3,8,11
2025-05,腹部,08,张志轩,高级,0,5,5
2025-06,腹部,08,张志轩,高级,0,5,5
2025-08,腹部,08,张志轩,高级,0,4,4
2025-09,腹部,08,张志轩,高级,0,6,6
2025-10,腹部,08,张志轩,高级,0,14,14
2025-11,腹部,08,张志轩,高级,0,2,2
2025-12,腹部,08,张志轩,高级,0,8,8
2026-01,腹部,08,张志轩,高级,1,11,12
2026-02,腹部,08,张志轩,高级,0,7,7
2026-03,腹部,08,张志轩,高级,2,15,17
2026-04,腹部,08,张志轩,高级,0,19,19
2026-05,腹部,08,张志轩,高级,0,9,9
2026-06,腹部,08,张志轩,高级,1,7,8
2026-07,腹部,08,张志轩,高级,1,5,6
2023-03,腹部,09,邝怡,高级,1,0,1
2023-05,腹部,09,邝怡,高级,0,1,1
2023-07,腹部,09,邝怡,高级,0,2,2
2024-01,腹部,09,邝怡,高级,0,2,2
2024-02,腹部,09,邝怡,高级,1,0,1
2024-03,腹部,09,邝怡,高级,0,4,4
2024-04,腹部,09,邝怡,高级,1,9,10
2024-05,腹部,09,邝怡,高级,1,1,2
2024-06,腹部,09,邝怡,高级,0,3,3
2024-08,腹部,09,邝怡,高级,0,1,1
2024-09,腹部,09,邝怡,高级,2,7,9
2024-10,腹部,09,邝怡,高级,7,7,14
2024-11,腹部,09,邝怡,高级,1,6,7
2024-12,腹部,09,邝怡,高级,1,1,2
2025-01,腹部,09,邝怡,高级,3,15,18
2025-02,腹部,09,邝怡,高级,1,10,11
2025-03,腹部,09,邝怡,高级,1,9,10
2025-04,腹部,09,邝怡,高级,1,5,6
2025-05,腹部,09,邝怡,高级,3,11,14
2025-06,腹部,09,邝怡,高级,1,12,13
2025-07,腹部,09,邝怡,高级,4,2,6
2025-08,腹部,09,邝怡,高级,1,7,8
2025-09,腹部,09,邝怡,高级,0,4,4
2025-10,腹部,09,邝怡,高级,1,5,6
2025-11,腹部,09,邝怡,高级,3,17,20
2025-12,腹部,09,邝怡,高级,1,13,14
2026-01,腹部,09,邝怡,高级,2,11,13
2026-02,腹部,09,邝怡,高级,0,4,4
2026-03,腹部,09,邝怡,高级,1,6,7
2026-04,腹部,09,邝怡,高级,0,7,7
2026-05,腹部,09,邝怡,高级,1,5,6
2026-06,腹部,09,邝怡,高级,1,3,4
2026-07,腹部,09,邝怡,高级,2,10,12
2022-09,腹部,10,吴璇,高级,1,0,1
2022-12,腹部,10,吴璇,高级,2,0,2
2023-02,腹部,10,吴璇,高级,1,0,1
2023-03,腹部,10,吴璇,高级,1,0,1
2024-01,腹部,10,吴璇,高级,1,0,1
2024-03,腹部,10,吴璇,高级,5,4,9
2024-04,腹部,10,吴璇,高级,0,5,5
2024-05,腹部,10,吴璇,高级,1,1,2
2024-06,腹部,10,吴璇,高级,3,9,12
2024-07,腹部,10,吴璇,高级,1,1,2
2024-08,腹部,10,吴璇,高级,1,12,13
2024-09,腹部,10,吴璇,高级,8,11,19
2024-10,腹部,10,吴璇,高级,4,10,14
2024-11,腹部,10,吴璇,高级,1,14,15
2024-12,腹部,10,吴璇,高级,6,17,23
2025-01,腹部,10,吴璇,高级,2,9,11
2025-02,腹部,10,吴璇,高级,0,23,23
2025-03,腹部,10,吴璇,高级,3,8,11
2025-04,腹部,10,吴璇,高级,2,9,11
2025-05,腹部,10,吴璇,高级,1,3,4
2025-06,腹部,10,吴璇,高级,1,13,14
2025-07,腹部,10,吴璇,高级,4,15,19
2025-08,腹部,10,吴璇,高级,2,14,16
2025-09,腹部,10,吴璇,高级,0,5,5
2025-10,腹部,10,吴璇,高级,0,6,6
2025-11,腹部,10,吴璇,高级,5,14,19
2025-12,腹部,10,吴璇,高级,1,13,14
2026-01,腹部,10,吴璇,高级,1,7,8
2026-02,腹部,10,吴璇,高级,6,12,18
2026-03,腹部,10,吴璇,高级,7,16,23
2026-04,腹部,10,吴璇,高级,3,11,14
2026-05,腹部,10,吴璇,高级,2,8,10
2026-06,腹部,10,吴璇,高级,1,10,11
2026-07,腹部,10,吴璇,高级,2,5,7
2024-01,腹部,11,张秋梅,中级,14,1,15
2024-02,腹部,11,张秋梅,中级,9,0,9
2024-03,腹部,11,张秋梅,中级,8,0,8
2024-04,腹部,11,张秋梅,中级,8,2,10
2024-05,腹部,11,张秋梅,中级,7,0,7
2024-06,腹部,11,张秋梅,中级,8,0,8
2024-07,腹部,11,张秋梅,中级,4,0,4
2024-08,腹部,11,张秋梅,中级,8,1,9
2024-09,腹部,11,张秋梅,中级,6,0,6
2024-10,腹部,11,张秋梅,中级,3,0,3
2024-11,腹部,11,张秋梅,中级,17,1,18
2025-01,腹部,11,张秋梅,中级,4,0,4
2025-02,腹部,11,张秋梅,中级,7,2,9
2025-03,腹部,11,张秋梅,中级,18,1,19
2025-04,腹部,11,张秋梅,中级,1,0,1
2025-05,腹部,11,张秋梅,中级,2,0,2
2025-06,腹部,11,张秋梅,中级,5,2,7
2025-07,腹部,11,张秋梅,中级,1,0,1
2025-12,腹部,11,张秋梅,中级,12,1,13
2026-01,腹部,11,张秋梅,中级,11,0,11
2026-02,腹部,11,张秋梅,中级,15,3,18
2026-03,腹部,11,张秋梅,中级,22,3,25
2026-04,腹部,11,张秋梅,中级,10,3,13
2026-06,腹部,11,张秋梅,中级,1,0,1
2024-01,腹部,12,刘慜思,中级,23,0,23
2024-02,腹部,12,刘慜思,中级,12,0,12
2024-03,腹部,12,刘慜思,中级,11,2,13
2024-04,腹部,12,刘慜思,中级,5,0,5
2024-05,腹部,12,刘慜思,中级,7,1,8
2024-06,腹部,12,刘慜思,中级,6,0,6
2024-08,腹部,12,刘慜思,中级,12,1,13
2024-09,腹部,12,刘慜思,中级,3,1,4
2024-10,腹部,12,刘慜思,中级,1,0,1
2024-11,腹部,12,刘慜思,中级,9,3,12
2024-12,腹部,12,刘慜思,中级,3,0,3
2025-01,腹部,12,刘慜思,中级,5,0,5
2025-03,腹部,12,刘慜思,中级,7,3,10
2025-04,腹部,12,刘慜思,中级,1,0,1
2025-05,腹部,12,刘慜思,中级,2,0,2
2025-07,腹部,12,刘慜思,中级,1,0,1
2025-08,腹部,12,刘慜思,中级,1,0,1
2025-09,腹部,12,刘慜思,中级,1,0,1
2025-12,腹部,12,刘慜思,中级,2,0,2
2026-01,腹部,12,刘慜思,中级,13,2,15
2026-02,腹部,12,刘慜思,中级,7,1,8
2026-03,腹部,12,刘慜思,中级,20,1,21
2026-04,腹部,12,刘慜思,中级,16,0,16
2023-09,腹部,13,康博,其它,0,1,1
2024-01,腹部,13,康博,其它,6,1,7
2024-02,腹部,13,康博,其它,7,0,7
2024-03,腹部,13,康博,其它,5,0,5
2024-04,腹部,13,康博,其它,10,0,10
2024-06,腹部,13,康博,其它,2,0,2
2024-07,腹部,13,康博,其它,5,0,5
2024-08,腹部,13,康博,其它,8,0,8
2024-09,腹部,13,康博,其它,4,0,4
2024-10,腹部,13,康博,其它,4,0,4
2024-11,腹部,13,康博,其它,4,0,4
2024-12,腹部,13,康博,其它,3,1,4
2025-01,腹部,13,康博,其它,9,1,10
2025-02,腹部,13,康博,其它,1,0,1
2025-04,腹部,13,康博,其它,6,0,6
2025-05,腹部,13,康博,其它,4,0,4
2025-06,腹部,13,康博,其它,2,1,3
2025-07,腹部,13,康博,其它,16,3,19
2025-08,腹部,13,康博,其它,4,0,4
2025-09,腹部,13,康博,其它,2,0,2
2025-10,腹部,13,康博,其它,2,0,2
2026-02,腹部,13,康博,其它,10,2,12
2026-03,腹部,13,康博,其它,1,0,1
2026-04,腹部,13,康博,其它,4,0,4
2026-05,腹部,13,康博,其它,4,0,4
2026-06,腹部,13,康博,其它,2,0,2
2024-01,腹部,14,简乐诗,中级,12,0,12
2024-02,腹部,14,简乐诗,中级,2,0,2
2024-03,腹部,14,简乐诗,中级,30,1,31
2024-04,腹部,14,简乐诗,中级,13,1,14
2024-05,腹部,14,简乐诗,中级,2,0,2
2024-06,腹部,14,简乐诗,中级,8,0,8
2024-07,腹部,14,简乐诗,中级,8,1,9
2024-08,腹部,14,简乐诗,中级,10,0,10
2024-09,腹部,14,简乐诗,中级,11,1,12
2024-10,腹部,14,简乐诗,中级,15,1,16
2024-11,腹部,14,简乐诗,中级,7,1,8
2024-12,腹部,14,简乐诗,中级,6,0,6
2025-01,腹部,14,简乐诗,中级,1,0,1
2025-03,腹部,14,简乐诗,中级,8,0,8
2025-04,腹部,14,简乐诗,中级,1,0,1
2025-05,腹部,14,简乐诗,中级,3,0,3
2025-06,腹部,14,简乐诗,中级,1,0,1
2025-07,腹部,14,简乐诗,中级,1,0,1
2025-08,腹部,14,简乐诗,中级,5,1,6
2025-11,腹部,14,简乐诗,中级,2,0,2
2025-12,腹部,14,简乐诗,中级,5,5,10
2026-01,腹部,14,简乐诗,中级,20,19,39
2026-02,腹部,14,简乐诗,中级,9,8,17
2026-03,腹部,14,简乐诗,中级,14,17,31
2026-04,腹部,14,简乐诗,中级,11,12,23
2026-05,腹部,14,简乐诗,中级,2,3,5
2026-06,腹部,14,简乐诗,中级,0,5,5
2026-07,腹部,14,简乐诗,中级,0,2,2
2024-01,腹部,15,陈可欣,中级,22,0,22
2024-02,腹部,15,陈可欣,中级,8,0,8
2024-03,腹部,15,陈可欣,中级,12,1,13
2024-04,腹部,15,陈可欣,中级,27,0,27
2024-05,腹部,15,陈可欣,中级,2,0,2
2024-06,腹部,15,陈可欣,中级,4,1,5
2024-07,腹部,15,陈可欣,中级,3,0,3
2024-08,腹部,15,陈可欣,中级,7,0,7
2024-09,腹部,15,陈可欣,中级,4,0,4
2024-10,腹部,15,陈可欣,中级,10,1,11
2024-11,腹部,15,陈可欣,中级,3,0,3
2024-12,腹部,15,陈可欣,中级,11,2,13
2025-02,腹部,15,陈可欣,中级,6,0,6
2025-03,腹部,15,陈可欣,中级,6,0,6
2025-08,腹部,15,陈可欣,中级,2,0,2
2025-09,腹部,15,陈可欣,中级,3,0,3
2025-10,腹部,15,陈可欣,中级,2,0,2
2025-11,腹部,15,陈可欣,中级,1,0,1
2025-12,腹部,15,陈可欣,中级,2,2,4
2026-01,腹部,15,陈可欣,中级,23,22,45
2026-02,腹部,15,陈可欣,中级,4,3,7
2026-03,腹部,15,陈可欣,中级,9,25,34
2026-04,腹部,15,陈可欣,中级,3,8,11
2026-05,腹部,15,陈可欣,中级,1,13,14
2026-06,腹部,15,陈可欣,中级,2,12,14
2026-07,腹部,15,陈可欣,中级,2,17,19
2024-02,腹部,16,曲莹莹,中级,16,1,17
2024-03,腹部,16,曲莹莹,中级,2,0,2
2024-04,腹部,16,曲莹莹,中级,9,0,9
2024-05,腹部,16,曲莹莹,中级,6,0,6
2024-06,腹部,16,曲莹莹,中级,6,0,6
2024-07,腹部,16,曲莹莹,中级,7,0,7
2024-08,腹部,16,曲莹莹,中级,3,0,3
2024-09,腹部,16,曲莹莹,中级,15,0,15
2024-10,腹部,16,曲莹莹,中级,19,0,19
2024-11,腹部,16,曲莹莹,中级,12,0,12
2024-12,腹部,16,曲莹莹,中级,1,0,1
2025-01,腹部,16,曲莹莹,中级,4,0,4
2025-02,腹部,16,曲莹莹,中级,11,0,11
2025-03,腹部,16,曲莹莹,中级,12,0,12
2025-04,腹部,16,曲莹莹,中级,1,0,1
2025-05,腹部,16,曲莹莹,中级,2,0,2
2025-06,腹部,16,曲莹莹,中级,2,0,2
2025-07,腹部,16,曲莹莹,中级,1,0,1
2025-08,腹部,16,曲莹莹,中级,3,0,3
2025-09,腹部,16,曲莹莹,中级,2,0,2
2025-10,腹部,16,曲莹莹,中级,1,0,1
2025-12,腹部,16,曲莹莹,中级,3,0,3
2026-01,腹部,16,曲莹莹,中级,27,0,27
2026-02,腹部,16,曲莹莹,中级,8,1,9
2026-03,腹部,16,曲莹莹,中级,14,1,15
2026-04,腹部,16,曲莹莹,中级,6,0,6
2026-05,腹部,16,曲莹莹,中级,1,0,1
2026-06,腹部,16,曲莹莹,中级,3,0,3
2024-01,腹部,17,陶琼瑶,中级,1,0,1
2024-04,腹部,17,陶琼瑶,中级,18,0,18
2024-05,腹部,17,陶琼瑶,中级,10,0,10
2024-06,腹部,17,陶琼瑶,中级,9,0,9
2024-07,腹部,17,陶琼瑶,中级,15,0,15
2024-08,腹部,17,陶琼瑶,中级,8,0,8
2024-09,腹部,17,陶琼瑶,中级,13,0,13
2024-10,腹部,17,陶琼瑶,中级,25,0,25
2024-11,腹部,17,陶琼瑶,中级,19,1,20
2024-12,腹部,17,陶琼瑶,中级,19,0,19
2025-01,腹部,17,陶琼瑶,中级,21,2,23
2025-02,腹部,17,陶琼瑶,中级,22,0,22
2025-03,腹部,17,陶琼瑶,中级,10,0,10
2025-05,腹部,17,陶琼瑶,中级,4,0,4
2025-06,腹部,17,陶琼瑶,中级,5,1,6
2025-07,腹部,17,陶琼瑶,中级,1,0,1
2025-08,腹部,17,陶琼瑶,中级,2,0,2
2025-09,腹部,17,陶琼瑶,中级,5,1,6
2025-12,腹部,17,陶琼瑶,中级,7,0,7
2026-01,腹部,17,陶琼瑶,中级,16,1,17
2026-02,腹部,17,陶琼瑶,中级,1,0,1
2026-03,腹部,17,陶琼瑶,中级,10,0,10
2026-04,腹部,17,陶琼瑶,中级,5,1,6
2026-05,腹部,17,陶琼瑶,中级,1,0,1
2026-06,腹部,17,陶琼瑶,中级,3,0,3
2024-12,腹部,18,马萌,初级,37,0,37
2025-01,腹部,18,马萌,初级,21,0,21
